AirWayBill;Carrier Prefix;Flight No.;Airport of Departure (code);Final Destination (code);Picked Up (Date);ETD;ETA;Docs released / Delivered (Date)
TPE625010;CI;073/20;TPE;EIN;2019-03-19 18:00;2019-03-20 00:30:00.0;2019-03-21 10:00:00.0;
STR077144;LH;7237;STR;IAD;2019-03-19 15:33;2019-03-20 00:30:00.0;2019-03-20 16:35:00.0;
SZX162185;RU;222/20;SZX;BUD;2019-03-18 10:00;2019-03-20 00:30:00.0;2019-03-20 19:30:00.0;
SZX162186;RU;222/20;SZX;BUD;2019-03-18 10:00;2019-03-20 00:30:00.0;2019-03-20 19:30:00.0;
BLR879267;MH;386/20;BLR;PVG;2019-03-18 14:00;2019-03-20 00:30:00.0;2019-03-20 21:00:00.0;
TPE624968;CI;073/20;TPE;EIN;2019-03-19 16:00;2019-03-20 00:30:00.0;2019-03-20 07:40:00.0;
TPE624969;CI;073/20;TPE;EIN;2019-03-19 16:00;2019-03-20 00:30:00.0;2019-03-20 07:30:00.0;
PRG610356;SU;206/21;PRG;PVG;2019-03-19 15:00;2019-03-20 00:35:00.0;2019-03-21 23:05:00.0;
PUS609408;QR;859/20;ICN;DOH;2019-03-18 10:00;2019-03-20 00:35:00.0;2019-03-20 05:15:00.0;
IST985565;TK;0728/20;IST;DOH;2019-03-19 07:00;2019-03-20 00:35:00.0;2019-03-21 05:30:00.0;
SZX161726;CX;096/20;SZX;MEX;2019-03-18 08:00;2019-03-20 00:40:00.0;2019-03-20 07:30:00.0;
PUS609324;SV;869/21;ICN;JED;2019-03-15 10:00;2019-03-20 00:45:00.0;2019-03-21 22:25:00.0;
TPE624662;CV;7973A/20;TPE;EIN;2019-03-19 10:00;2019-03-20 01:00:00.0;2019-03-22 09:00:00.0;
TXG624671;CV;7973A/20;TPE;BRU;2019-03-19 17:00;2019-03-20 01:00:00.0;2019-03-25 08:00:00.0;
NKG214170;SQ;7847/20;PVG;SIN;2019-03-18 18:00;2019-03-20 01:00:00.0;2019-03-20 08:25:00.0;
TPE624926;CV;7973A/20;TPE;EIN;2019-03-16 09:21;2019-03-20 01:00:00.0;2019-03-22 09:00:00.0;
ICN609444;CV;6353B/20;ICN;ZRH;2019-03-19 15:00;2019-03-20 01:00:00.0;2019-03-21 06:15:00.0;
KUL034450;CV;7303/20;KUL;INN;2019-03-19 10:00;2019-03-20 01:00:00.0;2019-03-24 07:00:00.0;
PVG960251;SQ;7847/20;PVG;SIN;2019-03-19 20:01;2019-03-20 01:00:00.0;2019-03-21 06:00:00.0;
SYD433697;TG;924/20;SYD;MST;2019-03-19 13:00;2019-03-20 01:00:00.0;2019-03-21 07:00:00.0;
PVG966205;SQ;916/20;PVG;MNL;2019-03-18 18:00;2019-03-20 01:00:00.0;2019-03-20 17:45:00.0;
ICN609387;CV;6353B/20;ICN;WAW;2019-03-19 16:32;2019-03-20 01:00:00.0;2019-03-25 10:00:00.0;
SZV016323;CA;1077/20;PVG;JFK;2019-03-08 14:00;2019-03-20 01:00:00.0;2019-03-20 23:00:00.0;
BLR879253;TG;0638/20;BLR;HKG;2019-03-18 12:30;2019-03-20 01:00:00.0;2019-03-20 17:45:00.0;
TPE624939;NH;203/20;TPE;STR;2019-03-19 10:00;2019-03-20 01:00:00.0;2019-03-26 08:00:00.0;
ICN609440;CV;6353B/20;ICN;NUE;2019-03-20 10:00;2019-03-20 01:00:00.0;2019-03-25 06:15:00.0;
PVG960252;SQ;7847/20;PVG;SIN;2019-03-19 19:47;2019-03-20 01:00:00.0;2019-03-21 06:00:00.0;
PVG960315;SQ;7847/20;PVG;SIN;2019-03-19 19:30;2019-03-20 01:00:00.0;2019-03-21 06:00:00.0;
PVG960317;SQ;7847/20;PVG;SIN;2019-03-19 19:39;2019-03-20 01:00:00.0;2019-03-20 00:00:00.0;
SZX162309;CA;933/21;SZX;CDG;2019-03-19 10:00;2019-03-20 01:00:00.0;2019-03-21 17:55:00.0;
CWB528262;QR;986/16;CWB;BLR;2019-03-09 15:00;2019-03-20 01:00:00.0;2019-03-16 23:59:00.0;
TPE624321;CV;7973A/20;TPE;ZRH;2019-03-18 14:00;2019-03-20 01:00:00.0;2019-03-22 10:30:00.0;
TPE624450;CV;7973A/20;TPE;HEL;2019-03-20 10:00;2019-03-20 01:00:00.0;2019-03-23 22:00:00.0;
TXG624696;CV;7973A/20;TPE;BRN;2019-03-18 18:00;2019-03-20 01:00:00.0;2019-03-22 09:00:00.0;
TPE624727;CV;7973A/20;TPE;WAW;2019-03-18 10:00;2019-03-20 01:00:00.0;2019-03-29 20:00:00.0;
SZV016370;CA;1077/20;PVG;JFK;2019-03-12 14:00;2019-03-20 01:00:00.0;2019-03-20 23:00:00.0;
TPE624802;CV;7973A/20;TPE;EIN;2019-03-18 10:30;2019-03-20 01:00:00.0;2019-03-22 09:00:00.0;
TXG624907;NH;203/20;TPE;FRA;2019-03-19 07:00;2019-03-20 01:00:00.0;2019-03-21 05:30:00.0;
TPE624918;CV;7973A/20;TPE;EIN;2019-03-18 18:00;2019-03-20 01:00:00.0;2019-03-22 09:00:00.0;
ICN609453;CV;6353B/20;ICN;LYS;2019-03-20 15:41;2019-03-20 01:00:00.0;2019-03-25 14:00:00.0;
PVG960316;SQ;7847/20;PVG;SIN;2019-03-19 19:42;2019-03-20 01:00:00.0;2019-03-21 06:00:00.0;
PVG964514;NH;8421/20;PVG;BKK;2019-03-14 18:00;2019-03-20 01:00:00.0;2019-03-20 08:30:00.0;
ICN609316;CV;6353B/20;ICN;CDG;2019-03-18 15:00;2019-03-20 01:00:00.0;2019-03-25 15:00:00.0;
SZV016398;CA;1077/20;PVG;JFK;2019-03-14 14:00;2019-03-20 01:00:00.0;2019-03-20 23:00:00.0;
NKG214153;SQ;7847/20;PVG;SIN;2019-03-15 14:00;2019-03-20 01:00:00.0;2019-03-20 08:25:00.0;
TPE624801;CV;7973A/20;TPE;EIN;2019-03-18 18:00;2019-03-20 01:00:00.0;2019-03-22 09:00:00.0;
TPE624803;CV;7973A/20;TPE;EIN;2019-03-19 11:00;2019-03-20 01:00:00.0;2019-03-22 09:00:00.0;
TPE624819;NH;203/20;TPE;MUC;2019-03-18 10:00;2019-03-20 01:00:00.0;2019-03-25 12:00:00.0;
ICN609388;CV;6353B/20;ICN;WAW;2019-03-19 14:00;2019-03-20 01:00:00.0;2019-03-25 10:00:00.0;
TXG624897;CV;7973A/20;TPE;BRU;2019-03-19 08:00;2019-03-20 01:00:00.0;2019-03-22 08:00:00.0;
TPE624903;CV;7973A/20;TPE;OPO;2019-03-18 17:30;2019-03-20 01:00:00.0;2019-03-23 08:00:00.0;
BLR879252;TG;0662/21;BLR;PVG;2019-03-18 14:00;2019-03-20 01:00:00.0;2019-03-20 23:00:00.0;
TPE624925;CV;7973A/20;TPE;EIN;2019-03-19 12:00;2019-03-20 01:00:00.0;2019-03-22 09:00:00.0;
KUL034439;CV;7303/20;KUL;BRN;2019-03-19 10:00;2019-03-20 01:00:00.0;2019-03-21 07:00:00.0;
ICN609441;CV;6353B/20;ICN;NUE;2019-03-20 10:10;2019-03-20 01:00:00.0;2019-03-25 06:15:00.0;
TPE624957;NH;203/20;TPE;STR;2019-03-19 14:00;2019-03-20 01:00:00.0;2019-03-22 08:00:00.0;
TPE624451;NH;203/20;TPE;KRK;2019-03-19 14:00;2019-03-20 01:00:00.0;2019-03-23 22:00:00.0;
LNZ729076;LX;0288/20;LNZ;JNB;2019-03-19 10:00;2019-03-20 01:01:00.0;2019-03-21 10:20:00.0;
LNZ729084;LX;0288/20;LNZ;JNB;2019-03-19 10:00;2019-03-20 01:01:00.0;2019-03-21 10:20:00.0;
BKK317294;EK;141/20;BKK;MAD;2019-03-19 18:40;2019-03-20 01:05:00.0;2019-03-20 12:40:00.0;
YYZ121071;BR;035;YYZ;PVG;2019-03-15 14:02;2019-03-20 01:20:00.0;2019-03-22 08:00:00.0;
PAN945753;KE;646;SIN;ICN;2019-03-19 16:55;2019-03-20 01:30:00.0;2019-03-20 08:40:00.0;
PAN945476;KE;646;SIN;ICN;2019-03-19 17:00;2019-03-20 01:30:00.0;2019-03-20 08:40:00.0;
SIN914377;KE;646;SIN;ICN;2019-03-19 15:00;2019-03-20 01:30:00.0;2019-03-20 08:40:00.0;
SIN661265;KE;646;SIN;ICN;2019-03-19 18:00;2019-03-20 01:30:00.0;2019-03-20 08:40:00.0;
YVR332072;PR;117;YVR;MNL;2019-03-15 16:00;2019-03-20 01:45:00.0;2019-03-21 06:15:00.0;
BOM339609;AF;0602/24;BOM;MTY;2019-03-19 10:00;2019-03-20 01:45:00.0;2019-03-24 11:00:00.0;
YVR332070;PR;117;YVR;SIN;2019-03-14 16:00;2019-03-20 01:45:00.0;2019-03-22 00:00:00.0;
